820000,Denver,-104.965486,39.726287,,,,,,,,4749,4759,35629,106713,133859,213381,256491,295841,332092,407768,563832,855129,1095640,1431277,1626050,2157756,2543482
822035,Durango,-107.871293,37.278666,,,,,,,,,,,,,,,5400,5887,5887,7459,19225,19199,27424,32284,43941,51334
823300,Edwards,-106.592325,39.640178,,,,,,,,,,,,,,,,,,,,,,,49471,52197
827425,Fort Collins,-105.078302,40.559238,,,,,,,,,,,,,8210,8755,11489,12251,12251,21710,34761,59557,149184,186136,251494,299630
827810,Fort Morgan,-103.799063,40.253262,,,,,,,,,,,,,,,,,,,,,,,27171,28159
830780,Glenwood Springs,-107.329449,39.539575,,,,,,,,,,,,,,,,,,,,,,,,73537
830835,Golden,-105.210911,39.746837,,,,,,,,,,,,,,,,3175,,,,,,,,
831660,Grand Junction,-108.559097,39.080531,,,,,,,,,,,,,7754,8665,10247,12479,12479,14504,18694,20170,27956,34447,116255,146723
832155,Greeley,-104.723988,40.415119,,,,,,,,,,,,,8179,10958,12203,15995,15995,20354,26314,38902,123438,131821,180936,252825
842110,La Junta,-103.54754,37.981333,,,,,,,,,,,,,,,7193,7040,,,,,,,,
844320,Leadville,-106.292414,39.2472,,,,,,,,,,14820,10384,12455,7508,4959,3771,4774,4774,4081,4008,4314,3879,2629,,
845970,Longmont,-105.109085,40.171583,,,,,,,,,,,,,,5848,6029,7406,7406,8099,,,,,,
846465,Loveland,-105.085868,40.404789,,,,,,,,,,,,,,5065,5506,6145,6145,,,,,,,
851745,Montrose,-107.865544,38.476952,,,,,,,,,,,,,,,,,,,,,,,33432,41276
862000,Pueblo,-104.620393,38.266933,,,,,,,,,,,24558,28157,41747,43050,50096,52162,68870,90188,118707,118238,125972,123051,141472,159063
867280,Salida,-105.99609,38.531442,,,,,,,,,,,,,,,5065,4969,,,,,,,,
870250,Silver Cliff,-105.439492,38.136432,,,,,,,,,,,,,,,,309,,,,,,,,
870525,Silverthorne,-106.076505,39.638391,,,,,,,,,,,,,,,,,,,,,,,23548,
873825,Steamboat Springs,-106.826654,40.476379,,,,,,,,,,,,,,,,,,,,,,,,23509
873935,Sterling,-103.211783,40.62543,,,,,,,,,,,,,,6415,7195,7411,7411,7534,20302,18852,19800,17567,20504,22709
878610,Trinidad,-104.506447,37.170944,,,,,,,,,,,5523,5345,10204,10906,11732,13223,13223,12204,10691,9901,9663,8580,9078,
882350,Walsenburg,-104.783795,37.626634,,,,,,,,,,,,,,,5503,5855,,,,,,,,
08LHIGH,Highlands,-105.0683333,39.8327778,,,,,,,,,,,5161,,,,,,,,,,,,,
09?BERL,Berlin,-72.7725975,41.6139877,,,,,,3411,1869,2146,2436,2385,2600,3448,,,,,,,,,,,,
09?FAIR,Fairfield,-73.2720598,41.1759298,,,,,,3654,3614,4379,5645,3748,3868,4489,,,,,,,,,,,,
09?FARM,Farmington,-72.8403771,41.7278772,,,,,,,,3144,2616,3017,3179,3331,3478,,,,,,,,,,,
09?GLAS,Glastonbury,-72.5448104,41.6870437,,,,,,3077,3390,3363,3560,3580,3457,4260,4796,,,,,,,,,,,
09?HAMD,Hamden,-72.9217693,41.3978749,,,,,,,,,,,,,5850,,,,,,,,,,,
09?MANC,Manchester,-72.5242534,41.7753769,,,,,,,,3294,4233,6462,8222,10601,13641,23962,,,,,,,,,,
