ID,Name,Lat,Long,Alt,1960,1970,1980,1991,2000,2010
4127502,Tibagi,-24.51328807,-50.41147012,728.210156,40389,57624,75177,87722,87696,99177
1503606,Itaituba,-4.26372948,-55.99004886,25.058629,12431,12690,38584,116402,94750,97343
3134202,Ituiutaba,-18.97306768,-49.46223519,571.31433,70706,64656,74247,84577,89091,97159
1508100,Tucurui,-3.766889084,-49.66718437,32.472291,5609,9921,61140,81623,73798,97109
2305506,Iguatu,-24.71126184,-53.08600508,519.215623,50882,75682,82949,75649,85615,96523
4307005,Erechim,-27.63340581,-52.2758769,797.448044,65972,48677,61114,72318,90347,96105
3302205,Itaperuna,-21.21059108,-41.88620318,115.315157,78130,60622,63086,78000,86720,95876
3504008,Assis,-22.66283502,-50.41751004,562.425632,42666,57220,67357,85391,87251,95156
3300308,Barra do Pirai,-22.46959629,-43.82845245,361.833761,45367,59076,71931,79199,88503,94855
2803500,Lagarto,-10.91530097,-37.66635341,172.294927,47214,51131,58320,72144,83334,94852
3104007,Araxa,-19.5913298,-46.94000989,989.598131,28010,35676,53404,69911,78997,93683
5211503,Itumbiara,-18.41768247,-49.22087008,461.810283,48402,64162,78043,75161,81430,92942
1501808,Breves,-1.6907365,-50.4808948,9.90157,34018,38201,55749,72140,80158,92865
3138203,Lavras,-21.24287024,-44.99993111,914.222005,37262,44449,52715,65893,78772,92171
3526704,Leme,-22.185436,-47.38870797,628.811226,21389,31229,46257,68215,80757,91804
2925501,Prado,-17.32956399,-39.22923842,7.875939,61164,95148,104125,86940,90642,90967
2928703,Santo Ant_nio de Jesus,-12.96800777,-39.26113126,214.859521,33468,39726,51583,64331,77368,90949
3132404,Itajuba,-22.43060057,-45.4645825,846.582027,50248,51716,60593,75014,84135,90679
2932903,Valen_a,-22.24471943,-43.70484368,550.859022,39842,48038,66283,66931,77509,88729
5211909,Jatai,-17.88623233,-51.72081804,724.000664,27680,41364,53387,65957,75451,88048
3305208,Sao Pedro da Aldeia,-22.83720319,-42.10352867,10.637049,19396,27721,37502,50474,63227,88013
5102504,Caceres,-16.07409563,-57.67476231,120.540178,28078,85699,59057,77540,85857,87912
3522406,Itapeva,-22.76974039,-46.21955686,957.49459,33418,49122,65544,81858,82866,87765
3155702,Rio Piracicaba,-19.95494117,-43.17982375,624.944568,38996,53220,60820,73016,80828,87618
2612505,Santa Cruz do Capibaribe,-7.9551895,-36.20395002,446.08443,7591,11685,21112,38332,59048,87538
4104303,Campo Mourao,-24.0412232,-52.38111509,597.698781,141157,77118,75427,82318,80476,87287
2802908,Itabaiana,-7.3309315,-35.33753339,46.00604,44541,41640,52596,64838,76813,86981
5205109,Catalao,-18.16957336,-47.94770322,853.304574,25699,27338,39168,54525,64347,86597
