ID,Name,Lat,Long,1954,1962,1968,1975,1982,1990,1999
38416,Saint-Marcellin,45.1543905,5.3194898,10046,10738,11658,12755,13310,13770,14580
38509,Tour-du-Pin,45.5624206,5.4442858,8610,9019,9783,11547,12681,12874,13013
38544,Vienne,46.4388005,1.0813095,36205,37763,40643,44302,47895,51130,53843
38563,Voiron,45.3528021,5.5924468,24543,25693,29855,33023,35722,39016,42131
39198,Dole,47.0418139,5.4297169,32057,35200,38607,40570,39938,41055,40059
39300,Lons-le-Saunier,46.675618,5.55323,46587,47662,49270,51675,53377,53768,54486
39478,Saint-Claude,46.3933071,5.855392,13199,13749,13941,14499,14028,14233,13938
40088,Dax,43.7088444,-1.0515181,31295,34587,38248,41297,43560,46755,49219
40192,Mont-de-Marsan,43.8908642,-0.5004249,33330,37098,42784,46298,49054,52390,54577
41018,Blois,47.6786608,1.2071597,66666,74186,85377,97048,104050,112093,116544
41194,Romorantin-Lanthenay,47.384802,1.735806,17974,18594,20568,23783,25999,27286,28295
41269,Vendôme,46.290133,-0.953127,22685,25420,28034,30095,31786,33094,34159
42094,Feurs,45.751412,4.222006,6861,7667,8167,9697,9874,10003,10133
42147,Montbrison,44.4291143,5.0482188,15118,15809,16380,18382,20412,22485,23953
42187,Roanne,46.053333,4.000833,91623,98138,103107,110079,110351,107600,104892
42207,Saint-Chamond,45.4766896,4.5123963,72434,78065,81560,86061,86399,86650,84925
42218,Saint-Étienne,45.308642,3.136367,306032,336907,353754,356928,343484,343239,321703
42279,Saint-Just-Saint-Rambert,45.4937781,4.3197443,19626,21256,23414,30641,37470,43500,45386
43157,Puy-en-Velay,45.0462047,3.8850464,53077,54274,56619,60917,64055,65577,66129
44003,Ancenis,47.408056,-1.1775,11067,11311,12498,14754,16580,17134,17377
44036,Châteaubriant,47.7197247,-1.3776846,19573,20585,21526,22735,24115,23334,22427
44043,Clisson,47.087149,-1.281795,8914,9338,10086,11264,12612,13637,14440
44109,Nantes,47.2550769,-1.5401422,409387,454188,501765,558922,597734,644317,711120
44184,Saint-Nazaire,45.2715383,5.8939764,115670,136242,143342,154815,163299,166586,172379
45155,Gien,47.6990995,2.6244213,13057,14425,17098,19669,22144,23458,22575
45208,Montargis,47.9980188,2.7316944,42503,46408,53845,58757,61971,64314,66299
45234,Orléans,47.8448832,1.9342839,173192,198315,225099,269858,297946,329464,355811
45252,Pithiviers,48.156984,2.192561,11736,12047,13416,15195,15352,16050,16612
46042,Cahors,44.3510853,1.4758014,25468,26977,28991,31546,34051,36198,38101
46102,Figeac,44.606326,2.036547,12173,13301,14259,14728,14944,15067,15442
47001,Agen,44.17618,0.5944732,68077,72169,78279,81458,85373,91368,94659
47157,Marmande,44.497959,0.165363,22608,23760,26012,27602,28835,30282,29930
47323,Villeneuve-sur-Lot,44.40278,0.859437,29547,33242,40397,42081,44127,44927,44841
48095,Mende,44.504655,3.5279513,11435,11644,12860,13745,14708,15572,16425
49007,Angers,47.4784696,-0.549652,189671,210186,229333,257715,283473,308387,332624
49099,Cholet,47.081784,-0.8764395,39367,46897,52637,65464,72379,74309,74055
49328,Saumur,47.251402,-0.07921,40136,44617,45898,47161,48399,47853,47445
49331,Segré,47.6851159,-0.8698906,9263,9382,10073,10617,10720,10293,10345
50025,Avranches,48.6880344,-1.3639822,14283,14782,15747,17163,17799,17626,17819
50129,Cherbourg-Octeville,49.65018,-1.4709859,86709,90476,96522,99924,107141,119222,117855
50147,Coutances,49.0786952,-1.4243362,16227,15193,15342,16063,16700,17120,17101
50218,Granville,48.8816283,-1.5647076,24189,23690,24460,25572,26909,27187,29300
50502,Saint-Lô,44.533054,1.026055,35172,38329,41351,46508,49406,49597,48837
51108,Châlons-en-Champagne,48.9718957,4.3724019,51828,58233,68038,77060,80093,80718,79280
51230,Épernay,49.0524951,3.986873,35078,36148,38908,42478,41048,40921,40167
51454,Reims,49.3086482,4.0592946,181383,196783,222774,254682,266731,281165,291735
51649,Vitry-le-François,48.7324459,4.6032585,26549,31107,33689,36301,36537,36062,35024
52121,Chaumont,48.0858269,5.1321721,30158,31281,34264,35654,37357,37339,36565
52269,Langres,47.864201,5.335042,14343,15398,16422,16951,16785,16933,16536
52448,Saint-Dizier,48.634998,4.899722,44018,54284,58085,60366,60641,59647,55814
53062,Château-Gontier,47.834027,-0.717802,15982,16037,16438,17697,19004,20381,21526
53130,Laval,47.17871,6.621105,61038,65053,71968,84581,92009,97758,102575
53147,Mayenne,48.30395,-0.615363,19018,19030,19703,20926,23033,24050,25268
54323,Longwy,49.5005411,5.7320437,44169,53406,54532,53789,47448,41681,40582
54329,Lunéville,48.5909547,6.4910067,27880,26783,28371,28132,28565,28179,27572
54395,Nancy,48.6928703,6.2305395,299884,333080,361672,388052,397661,406347,410508
54431,Pont-à-Mousson,48.9335738,6.0342921,19064,21368,23403,25143,26223,26684,26948
54528,Toul,48.6752778,5.8944444,17585,18248,20033,21988,23577,23510,23180
54580,Esch-sur-Alzette(L)-Villerupt,49.470163,5.930146,22895,28597,27492,24554,21633,19701,18906
55029,Bar-le-Duc,48.773605,5.158238,30556,32891,33365,33586,34240,34086,32892
55545,Verdun,49.161761,5.38889,33147,36140,36332,37372,36169,36198,35078
56007,Auray,47.6668042,-2.9853115,12806,12618,12988,15206,15779,17508,19125
56121,Lorient,47.7541059,-3.4373041,122811,142940,151978,164264,173207,183859,186144
56165,Ploërmel,48.001547,-2.3790974,7893,7530,7729,8170,8845,9546,10090
56178,Pontivy,48.0565733,-2.9246647,18406,17952,18415,19899,21006,21953,22427
56260,Vannes,48.5456656,5.7795977,59258,60544,69076,79371,91168,103302,118029
57160,Creutzwald,49.204987,6.6962469,13350,16463,17496,18826,18672,18849,17982
57227,Forbach,49.187318,6.898697,85507,107343,108280,107407,110387,109307,104074
57463,Metz,49.1007337,6.2162895,302359,360211,387752,409754,410960,417048,429588
57606,Saint-Avold,49.1043066,6.7073504,26731,33302,36103,36774,37892,38632,38888
57630,Sarrebourg,48.7177504,7.0750264,26502,27806,28156,29790,30540,31297,31908
57631,Sarreguemines,49.127897,7.1043934,31198,36676,39009,40393,41036,40770,42077
57672,Thionville,49.4031404,6.2160587,119648,158664,175281,178862,163599,157777,156433
57731,Dudelange(L)-Volmerange-les-Mines,49.443056,6.081111,1420,1546,1511,1607,1767,1755,1725
58086,Cosne-Cours-sur-Loire,47.4131256,2.9296861,12224,13408,14379,15856,16454,16403,15618
58194,Nevers,46.9883073,3.1576747,80665,88977,94005,98852,100861,102205,100556
59017,Armentières,48.684397,0.8076449,46396,48720,52286,55322,55913,57738,58706
59033,Aulnoye-Aymeries,50.201182,3.831173,16848,20692,21304,21849,21646,21101,20047
59043,Bailleul,49.0257854,-0.8132692,14900,15393,15792,16355,16484,17198,17732
59122,Cambrai,50.2193313,3.1472075,47716,52189,58564,61668,60360,58855,58828
59139,Caudry,50.124269,3.410122,13433,14378,14261,14418,14861,14273,14146
59183,Dunkerque,50.9600106,1.9549266,164380,195964,214410,246048,264720,265172,265974
59249,Fourmies,50.018301,4.046972,17124,18384,18920,19303,18824,18049,17151
59295,Hazebrouck,50.722553,2.5365267,19537,21417,23105,24191,24535,25134,26217
59350,Lille,50.57165,3.1059681,879563,948870,1013988,1067930,1081470,1110895,1143125
59392,Maubeuge,50.310276,4.033889,98258,110566,116752,122784,123807,121599,117470
59400,Merville,50.6201702,2.6432979,24330,25002,25245,25626,28144,30964,31514
59606,Valenciennes,50.3281946,3.4656192,372597,412743,427769,426258,411975,400539,399677
60057,Beauvais,49.4560867,2.1100769,55497,63650,77173,87612,90403,96639,100733
60157,Clermont,49.3651545,2.393561,11749,13633,14827,16072,17447,18697,19631
60159,Compiègne,49.4190309,2.831282,60182,67848,75321,87308,95114,103925,108234
60175,Creil,49.252777,2.518611,45866,57102,76545,88097,94950,97897,98277
60471,Noyon,49.580567,3.0001044,12771,15161,17572,20237,21078,22325,22547
60612,Senlis,50.540292,2.157358,8543,9961,11788,14359,15179,15392,17284
61001,Alençon,48.4449516,0.1066483,43521,47895,54197,59272,63328,64040,64978
61006,Argentan,48.7084769,0.0006636,18216,22140,23635,25742,26932,27214,27387
61169,Flers,48.7502787,-0.5910724,26895,28663,32106,35605,36255,36094,34836
61214,Aigle,46.316847,6.9636698,15479,16005,17419,18659,19846,20118,20043
62041,Arras,50.2997186,2.7255931,89445,98344,108043,116419,119962,122911,124206
62108,Berck,50.4240991,1.5947553,18705,17535,18455,20156,21280,22561,23196
62119,Béthune,50.5167212,2.6563276,275531,284540,281997,271792,267180,269259,268439
62160,Boulogne-sur-Mer,50.7237658,1.6143054,105532,120172,124860,129889,130921,131210,135116
62193,Calais,50.95129,1.858686,91231,103524,109625,115352,118145,121458,125584
62318,Étaples,50.5205466,1.6390613,17150,19381,20947,23820,25013,26002,26686
62498,Douai-Lens,50.42893,2.83183,517258,573575,588343,574713,564271,561142,552682
62765,Saint-Omer,50.7387346,2.25421,65961,69911,74268,82534,87182,90791,93516
62767,Saint-Pol-sur-Ternoise,50.3818251,2.3316056,9405,9512,9674,10190,10428,10399,10575
63113,Clermont-Ferrand,45.779765,3.086364,245045,277790,321529,362724,383126,396695,409558
63178,Issoire,45.5134436,3.2655314,20258,22590,24233,25885,26416,26684,27502
63430,Thiers,45.8563376,3.5482923,20472,20573,20642,20897,20921,20608,19492
64102,Bayonne,43.490977,-1.4782512,127420,141050,156747,170045,182575,198563,213969
64260,Irun(E)-Hendaye,43.359399,-1.766148,7419,7749,8583,10000,11166,12272,13427
64422,Oloron-Sainte-Marie,43.194413,-0.605292,18851,20897,21511,21700,21795,22031,21994
64430,Orthez,43.48756,-0.7739279,8640,10489,12343,12695,12947,12349,12248
64445,Pau,43.3696893,-0.4290156,119432,137876,163395,182155,195415,207182,216830
65286,Lourdes,43.1852779,-0.002778,21128,21296,23067,23033,22974,22373,21549
65440,Tarbes,43.2256368,0.0507709,77867,87860,100207,106337,109989,109681,109892
66136,Perpignan,42.699689,2.89465,125533,143173,169221,185460,213165,230839,249016
67180,Haguenau,48.7955582,7.8156034,37441,39887,43904,48262,51793,53889,59894
67300,Molsheim,48.5429136,7.4900295,5799,6857,7747,8727,9077,10101,11502
67324,Niederbronn-les-Bains,48.9506,7.6447,9606,10686,11515,12228,12741,12841,12992
67348,Obernai,48.4630298,7.4812991,5135,5351,7293,8920,9938,10666,11691
67437,Saverne,48.7471703,7.3524553,12253,12984,13698,14784,15363,15282,16366
67462,Sélestat,48.277932,7.434407,11705,13818,14635,15248,15112,15538,17179
67482,Strasbourg,48.579912,7.7644231,394525,438900,480495,518238,540993,568964,612104
67544,Wissembourg,49.019486,7.857355,6058,6435,6814,7155,7726,7876,8584
68066,Colmar,48.108891,7.358333,76840,84513,94003,104301,106256,109653,116268
68112,Guebwiller,47.9008064,7.2262427,24678,25620,26005,27292,27385,28152,30738
68224,Mulhouse,47.74,7.33,183405,205084,224494,249483,255422,261619,271024
68297,Bâle(CH)-Saint-Louis,47.5713619,7.5723547,53952,57656,62060,68994,72558,77178,83732
68334,Thann-Cernay,47.807124,7.176532,23207,27134,28252,29525,29891,30436,31309
69123,Lyon,45.7297776,4.8267431,956484,1124456,1274865,1396275,1449319,1551133,1648216
69243,Tarare,45.9196493,4.6344826,15981,16634,16882,17089,16787,17537,17741
69264,Villefranche-sur-Saône,45.991471,4.718821,34794,38585,42019,49894,54144,59904,63632
70279,Gray,47.4312494,5.6184043,16478,17093,18397,19792,19434,18785,18540
70310,Lure,47.6923304,6.5253216,9331,9174,10311,11660,12652,12739,12644
70311,Luxeuil-les-Bains,47.8167125,6.3805495,14078,14379,15732,16976,17540,16425,16099
70550,Vesoul,47.6183137,6.1506062,30646,31773,35225,39493,43576,44946,45291
